participant	task	session	sequenceNumber	stimulus	response	reactionTime	interstimulusInterval	stepA	stepB	correctResponse	wasResponsecorrect
1	discrimination	1	1	"step1,silence1000,step1"	same	0.866043334	1000	step1	step1	same	yes
1	discrimination	1	2	"step1,silence1000,step1"	same	0.981169	1000	step1	step1	same	yes
1	discrimination	1	3	"step3,silence500,step1"	different	2.400328625	250	step3	step5	different	yes
1	discrimination	1	4	"step3,silence500,step1"	same	0.846825375	500	step3	step1	different	no
1	discrimination	1	5	"step1,silence1000,step3"	same	0.738746458	1000	step1	step3	different	no
1	discrimination	1	6	"step1,silence2000,step1"	same	1.71646125	2000	step1	step1	same	yes
1	discrimination	1	7	"step1,silence2000,step3"	same	0.781116917	2000	step1	step3	different	no
1	discrimination	1	8	"step1,silence250,step1"	same	0.853078166	250	step1	step1	same	yes
1	discrimination	1	9	"step1,silence250,step3"	same	1.439584625	250	step1	step3	different	no
1	discrimination	1	10	"step1,silence500,step1"	same	0.754435208	500	step1	step1	same	yes
1	discrimination	1	11	"step1,silence500,step3"	same	0.99854675	500	step1	step3	different	no
1	discrimination	1	12	"step1,step1"	same	2.899414292	0	step1	step1	same	yes
1	discrimination	1	13	"step1,step3"	same	1.031198167	0	step1	step3	different	no
1	discrimination	1	14	"step3,silence1000,step1"	different	2.87294625	1000	step3	step1	different	yes
1	discrimination	1	15	"step3,silence1000,step3"	same	0.97068225	1000	step3	step3	same	yes
1	discrimination	1	16	"step3,silence1000,step5"	different	2.102568917	1000	step3	step5	different	yes
1	discrimination	1	17	"step3,silence2000,step1"	different	1.657809167	2000	step3	step1	different	yes
1	discrimination	1	18	"step3,silence2000,step3"	different	1.868755	2000	step3	step3	same	no
1	discrimination	1	19	"step3,silence2000,step5"	different	0.839225584	2000	step3	step5	different	yes
1	discrimination	1	20	"step3,silence250,step1"	different	1.433113459	250	step3	step1	different	yes
1	discrimination	1	21	"step3,silence250,step3"	same	0.699868459	250	step3	step3	same	yes
1	discrimination	1	22	"step3,silence250,step5"	different	0.934487541	250	step3	step5	different	yes
1	discrimination	1	23	"step3,silence500,step3"	same	0.851197083	500	step3	step3	same	yes
1	discrimination	1	24	"step3,silence500,step5"	different	0.784523916	500	step3	step5	different	yes
1	discrimination	1	25	"step3,step1"	same	1.060458791	0	step3	step1	different	no
1	discrimination	1	26	"step3,step3"	same	3.754256875	0	step3	step3	same	yes
1	discrimination	1	27	"step3,step5"	same	2.316747792	0	step3	step5	different	no
1	discrimination	1	28	"step5,silence1000,step3"	different	1.399014625	1000	step5	step3	different	yes
1	discrimination	1	29	"step5,silence1000,step5"	same	0.832717041	1000	step5	step5	same	yes
1	discrimination	1	30	"step5,silence1000,step7"	different	1.521816292	1000	step5	step7	different	yes
1	discrimination	1	31	"step5,silence2000,step3"	different	1.641659708	2000	step5	step3	different	yes
1	discrimination	1	32	"step5,silence2000,step5"	same	3.645922792	2000	step5	step5	same	yes
1	discrimination	1	33	"step5,silence2000,step7"	different	0.864741792	2000	step5	step7	different	yes
1	discrimination	1	34	"step5,silence250,step3"	different	1.151475375	250	step5	step3	different	yes
1	discrimination	1	35	"step5,silence250,step5"	same	1.584592916	250	step5	step5	same	yes
1	discrimination	1	36	"step5,silence250,step7"	same	1.115658333	250	step5	step7	different	no
1	discrimination	1	37	"step5,silence500,step3"	different	1.120480916	500	step5	step3	different	yes
1	discrimination	1	38	"step5,silence500,step5"	same	1.236686959	500	step5	step5	same	yes
1	discrimination	1	39	"step5,silence500,step7"	same	0.92280775	500	step5	step7	different	no
1	discrimination	1	40	"step5,step3"	different	1.289126958	0	step5	step3	different	yes
1	discrimination	1	41	"step5,step5"	same	4.681500208	0	step5	step5	same	yes
1	discrimination	1	42	"step5,step7"	different	3.719618292	0	step5	step7	different	yes
1	discrimination	1	43	"step7,silence1000,step5"	different	1.234521125	1000	step7	step5	different	yes
1	discrimination	1	44	"step7,silence1000,step7"	same	0.983462	1000	step7	step7	same	yes
1	discrimination	1	45	"step7,silence2000,step5"	different	5.114608625	2000	step7	step5	different	yes
1	discrimination	1	46	"step7,silence2000,step7"	same	1.371898958	2000	step7	step7	same	yes
1	discrimination	1	47	"step7,silence250,step5"	different	2.385509042	250	step7	step5	different	yes
1	discrimination	1	48	"step7,silence250,step7"	same	0.813389708	250	step7	step7	same	yes
1	discrimination	1	49	"step7,silence500,step5"	different	1.072028208	500	step7	step5	different	yes
1	discrimination	1	50	"step7,silence500,step7"	same	1.314557125	500	step7	step7	same	yes
1	discrimination	1	51	"step7,step5"	different	1.174202167	0	step7	step5	different	yes
1	discrimination	1	52	"step7,step7"	same	0.982957834	0	step7	step7	same	yes
1	discrimination	1	53	"step1,silence1000,step3"	same	0.86843825	1000	step1	step3	different	no
1	discrimination	1	54	"step1,silence2000,step1"	same	0.773609166	2000	step1	step1	same	yes
1	discrimination	1	55	"step1,silence2000,step3"	different	12.455174	2000	step1	step3	different	yes
1	discrimination	1	56	"step1,silence250,step1"	same	0.923834583	250	step1	step1	same	yes
1	discrimination	1	57	"step1,silence250,step3"	different	3.096190333	250	step1	step3	different	yes
1	discrimination	1	58	"step1,silence500,step1"	same	0.767795291	500	step1	step1	same	yes
1	discrimination	1	59	"step1,silence500,step3"	same	0.999806042	500	step1	step3	different	no
