durationstep,LongKey,vowel,SpecificOrigCoda,OrigCoda,trial,response,Longresps,responsetime,participant,order
10,left,a,d,voiced,0,right,0,5.567197084,126,aiu
4,left,a,g,voiced,1,right,0,3.912647009,126,aiu
2,left,a,g,voiced,3,right,0,4.498132944,126,aiu
3,left,a,d,voiced,5,right,0,3.862111092,126,aiu
8,left,a,d,voiced,7,left,1,1.590595007,126,aiu
5,left,a,g,voiced,8,left,1,3.142004013,126,aiu
10,left,a,g,voiced,9,left,1,0.90633893,126,aiu
1,left,a,d,voiced,12,right,0,0.956423998,126,aiu
1,left,a,g,voiced,18,right,0,1.123398066,126,aiu
9,left,a,d,voiced,20,left,1,1.608093023,126,aiu
7,left,a,d,voiced,21,left,1,1.437571049,126,aiu
5,left,a,d,voiced,23,right,0,1.186930895,126,aiu
2,left,a,d,voiced,26,right,0,3.578094006,126,aiu
7,left,a,g,voiced,28,left,1,2.45964694,126,aiu
6,left,a,d,voiced,29,right,0,6.168418884,126,aiu
9,left,a,g,voiced,30,left,1,1.222885847,126,aiu
8,left,a,g,voiced,35,left,1,2.843179941,126,aiu
4,left,a,d,voiced,36,right,0,1.370424986,126,aiu
6,left,a,g,voiced,37,left,1,3.12826705,126,aiu
3,left,a,g,voiced,38,right,0,1.45767498,126,aiu
5,left,i,d,voiced,2,right,0,1.406382084,126,aiu
7,left,i,d,voiced,4,left,1,0.972855091,126,aiu
1,left,i,g,voiced,8,right,0,1.153395176,126,aiu
10,left,i,g,voiced,9,left,1,1.339253902,126,aiu
3,left,i,d,voiced,10,right,0,1.123746872,126,aiu
10,left,i,d,voiced,12,left,1,1.841081142,126,aiu
6,left,i,g,voiced,14,left,1,2.242754936,126,aiu
2,left,i,d,voiced,15,right,0,1.023285866,126,aiu
3,left,i,g,voiced,16,right,0,1.17308116,126,aiu
4,left,i,g,voiced,17,right,0,1.056329966,126,aiu
9,left,i,d,voiced,18,right,0,2.225317001,126,aiu
1,left,i,d,voiced,23,right,0,1.97556901,126,aiu
8,left,i,g,voiced,24,right,0,3.161715031,126,aiu
5,left,i,g,voiced,25,right,0,1.522974968,126,aiu
6,left,i,d,voiced,27,right,0,2.042267084,126,aiu
7,left,i,g,voiced,29,left,1,1.723428965,126,aiu
9,left,i,g,voiced,33,left,1,1.607478142,126,aiu
4,left,i,d,voiced,34,right,0,3.529209137,126,aiu
2,left,i,g,voiced,38,right,0,1.65803194,126,aiu
8,left,i,d,voiced,39,left,1,1.407351017,126,aiu
2,left,u,g,voiced,1,right,0,0.819304228,126,aiu
1,left,u,d,voiced,5,right,0,1.557672977,126,aiu
3,left,u,d,voiced,6,right,0,0.872872114,126,aiu
7,left,u,d,voiced,7,right,0,0.838360786,126,aiu
7,left,u,g,voiced,8,right,0,1.540167093,126,aiu
2,left,u,d,voiced,10,right,0,1.95746994,126,aiu
10,left,u,d,voiced,12,left,1,1.089589834,126,aiu
6,left,u,g,voiced,13,left,1,1.557093143,126,aiu
9,left,u,g,voiced,14,left,1,0.788218975,126,aiu
5,left,u,d,voiced,15,right,0,2.609429121,126,aiu
8,left,u,d,voiced,17,right,0,2.025694847,126,aiu
8,left,u,g,voiced,19,left,1,1.003322124,126,aiu
5,left,u,g,voiced,20,left,1,0.788594007,126,aiu
9,left,u,d,voiced,24,left,1,1.690774202,126,aiu
3,left,u,g,voiced,29,right,0,2.191298008,126,aiu
1,left,u,g,voiced,31,right,0,2.890768051,126,aiu
10,left,u,g,voiced,33,left,1,1.858125925,126,aiu
4,left,u,g,voiced,34,right,0,3.412258863,126,aiu
6,left,u,d,voiced,35,right,0,2.927896023,126,aiu
4,left,u,d,voiced,36,right,0,0.938904047,126,aiu
5,right,a,d,voiced,2,right,1,2.029653072,101,aiu
3,right,a,g,voiced,3,left,0,1.287282944,101,aiu
4,right,a,d,voiced,5,left,0,1.75928688,101,aiu
10,right,a,g,voiced,7,right,1,0.932859898,101,aiu
9,right,a,d,voiced,9,right,1,0.999700069,101,aiu
3,right,a,d,voiced,10,right,1,0.86503005,101,aiu
2,right,a,d,voiced,11,left,0,0.811007023,101,aiu
7,right,a,d,voiced,13,left,0,0.94837594,101,aiu
8,right,a,d,voiced,20,left,0,0.898419142,101,aiu
8,right,a,g,voiced,23,right,1,0.932396173,101,aiu
5,right,a,g,voiced,24,right,1,1.034250975,101,aiu
10,right,a,d,voiced,27,right,1,1.01397419,101,aiu
2,right,a,g,voiced,28,left,0,0.982800961,101,aiu
1,right,a,d,voiced,29,left,0,1.216149807,101,aiu
